"x","y","z","color"
57.55,332.564,-141.84,0
74.325,333.604,124.428,2
105.617,491.656,-148.48,1
71.06,427.958,127.023,7
75.221,477.819,97.443,6
105.744,489.485,-150.387,1
13.117,420.997,91.229,7
63.62,322.3,-1.63,3
66.945,368.459,125.563,2
154.736,131.873,32.903,10
98.528,274.283,-102.814,0
29.863,353.733,86.491,3
81.814,313.902,1.688,8
107.595,270.966,-157.381,0
25.701,337.054,-163.265,0
67.314,463.729,108.412,7
102.289,196.872,53.804,5
111.239,315.113,132.091,2
99.916,243.316,70.378,5
78.758,496.975,86.683,6
52.192,312.279,-168.013,0
42.469,552.85,-150.346,1
14.591,408.178,94.652,7
105.676,260.968,-148.748,0
74.627,555.042,4.007,6
124.003,285.641,-43.671,8
69.896,436.03,121.667,7
39.747,326.616,55.245,3
56.069,455.241,112.728,7
108.747,308.28,104.455,2
17.474,387.074,93.361,3
45.982,295.181,55.756,3
133.783,436.216,101.988,7
115.713,235.133,117.23,5
31.603,354.935,17.125,3
29.014,305.082,62.322,3
68.469,291.454,32.82,8
53.435,299.235,129.527,2
103.34,238.762,111.887,5
94.344,205.382,82.109,5
77.27,552.034,-3.088,6
114.256,346.606,5.546,4
31.343,540.716,-168.554,1
20.858,371.259,93.776,3
85.351,230.392,75.624,5
110.722,433.182,122.19,7
154.804,88.164,59.958,10
36.964,307.447,68.418,3
48.346,487.91,57.824,6
78.296,244.434,158.333,5
80.697,213.62,53.138,5
0.151,120.779,32.232,9
79.888,312.982,8.649,8
61.29,315.522,104.065,2
137.033,152.033,30.861,10
80.693,231.401,101.241,5
68.665,323.881,112.459,2
114.361,301.062,-21.224,8
75.133,426.864,129.417,7
27.531,283.577,50.353,3
75.1,288.888,93.216,2
83.281,406.94,133.005,2
74.777,306.73,94.976,2
112.923,325.096,38.245,8
81.296,194.383,82.091,5
82.281,273.727,-165.747,0
25.247,316.93,-13.608,0
109.841,246.805,118.136,5
116.868,497.053,47.313,6
44.321,302.357,92.719,2
33.529,320.131,-50.57,0
90.355,404.027,127.965,7
139.897,388.301,86.448,4
97.498,419.551,127.184,7
46.439,539.316,-116.515,1
113.176,272.05,-145.81,0
29.751,542.134,-163.049,1
74.194,553.378,-30.933,6
35.513,392.681,123.974,7
124.218,340.708,53.109,4
76.607,254.072,116.424,5
81.449,287.249,109.902,5
57.608,211.662,105.599,5
8.387,67.355,88.123,9
124.164,344.38,27.908,4
103.475,260.662,-146.671,0
128.551,349.274,38.655,4
41.656,566.78,-147.775,1
47.507,536.573,-94.834,1
75.68,320.3,117.871,2
74.712,509.745,71.404,6
92.888,278.93,-106.58,0
119.942,169.021,21.684,10
116.173,290.967,-35.472,8
110.64,394.487,130.54,2
112.023,340.677,108.004,2
59.062,328.708,0.008,3
86.7,402.3,128.234,2
75.721,452.145,122.332,7
52.331,433.981,123.577,7
77.203,552.046,-1.275,6
73.005,507.758,80.906,6
63.995,251.006,152.634,5
51.949,202.583,128.403,5
28.29,408.264,118.949,7
145.795,341.965,80.797,4
33.622,338.883,-136.939,0
125.693,331.884,115.095,4
95.477,410.041,129.217,7
75.755,338.837,138.337,2
112.993,497.093,19.5,6
122.245,467.975,-169.933,1
71.536,373.936,122.952,2
81.196,422.39,126.52,7
84.282,278.414,112.109,5
53.438,210.277,122.711,5
116.723,450.408,105.489,7
112.605,449.565,108.546,7
49.296,316.002,-57.558,0
82.163,273.106,124.222,5
53.268,310.158,85.124,2
88.587,512.721,68.878,6
43.209,511.795,-21.38,6
75.997,555.464,18.576,6
78.065,545.151,44.678,6
80.574,382.18,122.597,2
103.601,470.047,-166.995,1
54.679,307.242,66.444,3
48.026,326.079,8.639,3
60.027,330.468,-110.57,0
143.598,69.337,79.074,10
81.041,438.235,108.389,7
18.586,138.102,21.398,9
132.456,364.633,26.02,4
15.644,372.01,40.113,3
40.879,319.748,35.11,3
123.539,343.587,83.356,4
103.481,288.871,-41.549,8
45.799,330.142,12.88,3
53.4,320.993,-46.077,0
73.205,338.538,149.848,2
32.289,512.662,23.419,6
104.373,206.721,124.319,5
77.479,475.212,97.192,6
93.029,263.507,-141.731,0
111.501,287.477,-67.216,8
90.37,329.025,-5.103,8
52.138,212.717,125.843,5
76.042,326.41,136.143,2
78.36,313.479,132.937,2
-12.437,83.468,54.275,9
73.974,389.313,132.098,2
81.772,430.301,121.285,7
116.224,483.997,-73.133,1
123.01,487.814,-147.184,1
60.005,315.397,101.587,2
45.324,413.826,130.029,7
141.875,332.946,93.984,4
58.841,250.965,116.905,5
14.595,390.748,85.574,3
116.685,482.125,91.842,7
111.032,316.022,117.066,2
32.326,547.557,-116.153,1
26.027,146.415,24.906,9
