"x","y","z","color"
98.76,483.636,-161.345,1
11.868,420.294,82.798,7
25.734,319.477,-33.883,0
84.605,478.388,101.546,6
90.244,247.265,116.059,5
73.168,553.795,-11.862,6
69.853,465.443,104.258,7
117.649,459.216,95.645,7
107.853,485.779,-76.907,1
70.819,263.226,127.291,5
26.147,352.499,67.6,3
122.024,416.118,119.933,7
1.457,118.677,24.424,9
59.741,387.176,129.782,2
48.738,323.113,12.326,3
45.102,236.545,112.814,5
60.631,299.57,21.653,8
70.785,268.657,108.351,5
30.741,415.573,118.677,7
85.246,355.599,129.59,2
118.666,305.216,100.217,4
31.185,316.802,-49.892,0
41.286,344.343,11.412,3
92.537,377.249,130.227,2
57.495,342.006,-150.253,0
82.99,328.258,107.507,2
31.495,320.577,-36.459,0
91.338,186.25,51.991,5
76.54,213.71,65.067,5
64.851,264.134,119.114,5
101.365,316.837,96.788,2
40.56,384.75,128.017,7
104.669,488.929,-149.663,1
115.576,328.528,63.425,4
70.338,219.432,79.19,5
35.726,480.379,77.85,6
80.591,199.877,123.35,5
135.653,364.423,33.004,4
10.957,395.124,54.343,3
100.902,212.894,131.536,5
125.832,295.959,-41.777,8
91.006,476.904,105.141,6
106.924,217.253,134.542,5
83.883,252.284,-171.266,0
35.017,530.439,-169.887,1
101.844,492.074,41.047,6
76.021,243.446,105.127,5
24.719,300.154,4.268,3
75.235,535.264,54.989,6
41.73,337.597,-146.365,0
71.463,359.897,122.081,2
50.087,318.636,123.883,2
72.295,515.688,69.1,6
132.142,362.853,82.053,4
16.194,432.725,91.732,7
108.631,288.548,-39.388,8
55.653,378.956,132.362,2
67.115,470.142,100.046,7
105.466,319.353,91.315,4
38.216,286.503,88.133,2
128.916,303.752,99.24,4
51.715,448.065,116.404,7
89.443,302.24,103.662,2
12.068,420.357,82.156,7
18.098,410.87,103.645,7
42.204,565.536,-137.006,1
84.336,249.992,116.236,5
112.908,305.835,41.837,8
96.38,246.581,-171.232,0
84.897,330.255,109.164,2
77.542,516.091,12.134,6
21.938,365.111,75.758,3
89.826,250.211,115.858,5
77.658,354.917,135.162,2
82.741,286.285,24.836,8
51.267,413.82,129.688,7
67.899,230.894,109.236,5
122.186,424.093,118.251,7
76.346,285.612,30.128,8
116.266,490.234,-120.545,1
109.77,326.877,12.25,8
13.999,389.212,47.231,3
38.552,330.636,-130.785,0
35.304,521.251,-74.828,1
75.968,332.702,125.924,2
45.558,545.342,-156.256,1
89.104,209.073,87.584,5
101.718,488.371,69.922,6
69.741,406.864,125.275,2
104.677,501.897,31.154,6
81.582,367.148,120.112,2
42.89,326.358,29.383,3
31.012,550.105,-140.873,1
105.536,257.182,-159.142,0
55.757,323.025,-80.229,0
149.137,339.595,83.762,4
82.046,224.074,121.087,5
74.924,187.712,51.648,5
77.035,447.165,118.679,7
110.79,283.903,37.427,8
36.237,544.743,-141.982,1
41.8,558.433,-150.003,1
25.951,290.462,53.27,3
69.28,372.293,124.252,2
24.772,313.166,-19.787,0
86.513,521.881,61.157,6
75.322,556.843,3.473,6
89.177,264.557,121.094,5
140.003,338.954,86.248,4
23.79,333.591,-168.718,0
61.893,321.667,97.442,2
76.683,367.758,133.889,2
78.609,395.808,116.101,2
94.158,247.535,117.812,5
71.163,384.527,117.447,2
85.986,312.768,108.606,2
86.907,449.636,116.191,7
73.696,532.759,55.694,6
111.245,288.688,-51.442,8
69.312,512.022,72.486,6
52.669,311.006,65.843,3
142.91,70.875,79.107,10
91.905,233.526,112.708,5
107.833,276.069,-120.257,0
36.348,321.453,62.945,3
128.551,349.274,38.655,4
97.882,309.028,91.194,2
111.758,165.95,29.839,5
33.606,299.277,66.667,3
91.026,483.434,96.094,6
74.986,304.925,132.932,2
78.446,454.538,115.812,7
121.839,353.813,12.419,4
83.808,357.707,120.731,2
58.265,192.913,51.596,5
76.833,419.089,128.94,7
84.478,549.649,18.403,6
96.33,315.223,93.372,2
69.694,424.45,121.135,7
39.426,304.404,25.416,3
76.07,234.678,99.504,5
124.516,152.2,29.14,10
58.673,335.905,-149.769,0
102.271,212.132,111.526,5
85.404,337.712,114.081,2
37.523,366.72,117.565,3
90.541,309.486,105.114,2
49.397,321.362,-89.48,0
93.611,417.037,127.685,7
18.178,394.906,108.402,3
77.274,350.717,139.59,2
109.629,469.662,-169.853,1
101.951,392.818,130.118,2
58.918,342.516,-154.675,0
87.35,297.788,109.198,2
71.283,275.385,114.316,5
84.247,214.631,62.25,5
52.936,323.596,-164.322,0
39.32,336.938,100.472,3
110.806,273.988,-146.136,0
89.83,336.392,115.91,2
76.684,429.253,128.473,7
43.932,384.358,129.359,2
88.092,340.006,116.64,2
